DEPT,AF20,AF30,AF60,AF90,AT10,AT20,AT30,AT60,AT90,BS,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CFF2,CHI1,CHI2,CMFF,CMRP_3MS,CMRP_3MS_MW[0],DPHZ,DTCO,DTSM,DWAL_WALK2,DWCA_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,DXFE_WALK2,GCF1,GCF2,GR_EDTC,HBHK,HCAL,HCGR,HD1_PPC1,HD1_PPC2,HD2_PPC1,HD2_PPC2,HDRA,HFK,HSGR,HTHO,HTPR,HTUR,HURA,KSDR,KTIM,MAXXENE_OVERALL,MINXENE_OVERALL,NPOR,PEFZ,PR,PXND_HILT,RDF1,RDF2,RHOZ,T2CUTOFF,T2LM,T2_DIST_MW[0],TCMR,TDEP,TENS,VPVS,PHIT_NMR,PHIE_NMR,CBW,FFI,BVIE,PHIT_CHART,RHOMAA_CHART,VSH_GR,VSH_ND,VSH_DT,VSH_HL,PHIT_USED,BVW,SWT,BVO,MSTAR_APP,MSTAR_FIT,PHIT,CBWapp,SAL,Swb,Qv,Bdacy,MSTAR,SW_CP,BVWT_CP,BVWe_CP,PHIE
10072.0,46.8837,50.854,48.0702,49.1973,32.1032,30.1179,31.4098,30.0661,30.824,8.75,0.0231,0.0192,0.0006,0.0008,0.0138,0.0,0.0,0.0,0.0152,1.0113,1.0221,0.0138,0.0152,0.0162,0.1132,90.0,140.0,0.0374,0.1572,0.2184,0.0036,0.0034,0.0,0.9709,0.9814,193.98008,-0.0009,8.5338,20.1125,8.8678,8.9146,9.0353,9.061,0.0219,0.0072,28.2473,2.2456,3.1318,2.0005,1.1226,0.0003,0.0108,17.8351,1.9577,0.1698,3.712,0.1478,0.1397,1.3455,0.9382,2.5165,33.0,2.4796,0.0011,0.0575,1176330240.0,3704.2,1.5556,0.0575,0.0152,0.0423,0.0138,0.0014,0.14308536400952113,2.751666568811882,0.0,0.15527553763440877,0.6156774193548391,0.30783870967741955,0.14308536400952113,0.016827255473923,0.11760291201274288,0.12625810853559813,3.9587186270918004,2.0978387096774194,0.14308536400952113,0.030783870967741957,450.64158177023694,0.21514339485968356,0.859658310379745,12.185703932274844,2.0978387096774194,0.10365377267191596,0.014831337793721248,0.0,0.11230149304177917
10072.5,58.0145,62.5228,59.6718,60.418,55.7149,56.6952,58.882,57.8625,59.1113,8.75,0.0136,0.0176,0.0059,0.0016,0.0079,0.0,0.0,0.0,0.0154,1.0109,1.095,0.0079,0.0154,0.0161,0.1909,103.6364,161.4545,0.0638,0.0915,0.2487,0.0073,0.005,0.0,0.9709,0.9814,279.33768,-0.0009,8.5073,18.1037,8.8678,8.9029,9.0353,9.0742,0.0115,0.0062,27.2577,2.1811,3.5285,1.8089,1.2057,0.0001,0.002,18.4452,2.0597,0.4276,3.4037,0.1496,0.2568,1.3455,0.9382,2.3835,33.0,2.6783,0.0013,0.0466,1176330752.0,3691.5,1.5579,0.0466,0.0154,0.0312,0.0079,0.0075,0.3312178563475899,2.960558763334499,0.0,0.5153830645161295,0.6761319569892474,0.3380659784946237,0.3312178563475899,0.013054962654877943,0.03941503274865011,0.31816289369271195,7.5550037432476564,2.128065978494624,0.3312178563475899,0.033806597849462376,450.64158177023694,0.10206755825985639,0.40783601437302053,12.185703932274844,2.128065978494624,0.025913621718795656,0.008583054235901845,0.0,0.2974112584981275
10073.0,78.2885,83.0375,84.1975,81.8973,113.3631,125.9233,132.1135,110.4277,108.9936,8.75,0.0126,0.0196,0.0175,0.0027,0.0054,0.0004,0.0,0.0,0.0261,0.967,1.0178,0.0059,0.0261,0.0262,0.255,111.2727,176.7273,0.0805,0.0788,0.2331,0.0066,0.0043,0.0,0.9709,0.9814,348.72918,-0.0009,8.4498,15.2659,8.8678,8.9146,9.0353,9.061,-0.0065,0.0053,26.7087,1.8083,3.4345,1.2081,1.4968,0.0004,0.0014,18.3499,2.0752,0.4958,3.2977,0.1716,0.3314,1.3455,0.9382,2.274,33.0,2.9495,0.0011,0.0582,1176331264.0,3725.0,1.5882,0.0582,0.0261,0.0321,0.0059,0.0202,0.35239830921249404,2.9792328768503396,0.0,0.511760752688172,0.6301537204301075,0.31507686021505377,0.35239830921249404,0.009623803879635854,0.027309449642769875,0.3427745053328582,8.590647821653482,2.105076860215054,0.35239830921249404,0.03150768602150538,450.64158177023694,0.08940929964140787,0.3572568310177407,12.185703932274844,2.105076860215054,0.015868946307501488,0.005592189847747375,0.0,0.32089062319098866
10073.5,113.0276,124.1464,128.984,121.1551,193.4168,284.1831,207.866,179.4868,151.8299,8.75,0.0129,0.0162,0.0193,0.0099,0.0005,0.002,0.0,0.0,0.0317,1.0913,1.0573,0.0025,0.0317,0.0333,0.2811,112.9091,190.1818,0.0815,0.0932,0.2132,0.0011,0.0025,0.0,0.9709,0.9814,413.3704,-0.0009,8.4152,13.7783,8.8678,8.9029,9.0225,9.061,-0.0086,0.0049,27.6989,1.5506,3.1702,0.8497,1.8248,0.0006,0.0002,18.1556,2.1083,0.4044,3.3059,0.2278,0.3382,1.3455,0.9382,2.2294,33.0,3.276,0.0001,0.0608,1176331776.0,3696.4,1.6844,0.0608,0.0317,0.0291,0.0025,0.0292,0.35689362476385605,2.872047077681032,0.0,0.2619973118279572,0.5721222365591397,0.28606111827956987,0.35689362476385605,0.00814283225513561,0.02281585237204345,0.34875079250872043,9.018053814810797,2.07606111827957,0.35689362476385605,0.028606111827956988,450.64158177023694,0.08015304797580693,0.32027120256054403,12.185703932274844,2.07606111827957,0.013579741600880001,0.004846523203294593,0.0,0.3282875129358991
10074.0,185.4839,200.8066,200.3455,201.1942,236.7492,417.6208,290.3338,329.9547,295.006,8.75,0.0127,0.0119,0.0141,0.011,0.0004,0.0002,0.0011,0.0001,0.0268,1.0362,1.0302,0.0017,0.0268,0.0293,0.2897,114.9091,197.4545,0.0837,0.0925,0.2096,0.0,0.0017,0.0,0.9709,0.9814,448.62473,-0.0009,8.4012,13.761,8.8558,8.856,9.0353,9.0742,-0.0082,0.0048,31.713,1.623,3.4112,0.6862,2.3653,0.0003,0.0001,18.047,2.1165,0.4087,3.3187,0.2439,0.3496,1.3455,0.9382,2.2147,33.0,3.3458,0.0,0.0514,1176332288.0,3722.3,1.7184,0.0514,0.0268,0.0246,0.0017,0.0251,0.36664429535334575,2.845175932806145,0.0,0.25139516129032297,0.5919458924731187,0.29597294623655934,0.36664429535334575,0.005826554518398126,0.0158915728193259,0.36081774083494766,9.922323645669351,2.0859729462365593,0.36664429535334575,0.029597294623655936,450.64158177023694,0.08072481966515302,0.32255585687078586,12.185703932274844,2.0859729462365593,0.007143211305214049,0.0026190176755602583,0.0,0.3370470007296898
10074.5,274.3512,286.9721,297.5625,307.8375,271.1064,678.8455,479.805,662.3246,571.1902,8.75,0.0137,0.0104,0.0091,0.0066,0.0024,0.0,0.0,0.0014,0.0195,1.073,1.0822,0.0038,0.0195,0.0216,0.2943,116.0,198.5455,0.0895,0.0817,0.2121,0.0,0.0027,0.0,0.9709,0.9814,466.63787,-0.0009,8.3637,16.1587,8.8439,8.8443,9.0225,9.061,-0.0082,0.0057,42.7359,1.8449,3.2417,0.5248,3.5156,0.0001,0.0003,17.0773,1.8866,0.4107,3.3016,0.2409,0.3518,1.3455,0.9382,2.2067,33.0,3.1498,0.0,0.0436,1176332800.0,3728.2,1.7116,0.0436,0.0195,0.0241,0.0038,0.0157,0.3676988468903517,2.842203499866512,0.0,0.24491666666666714,0.6028000000000003,0.30140000000000017,0.3676988468903517,0.004167407195235144,0.01133375105872407,0.3635314396951166,10.611209816186673,2.0914,0.3676988468903517,0.030140000000000017,450.64158177023694,0.08196925352063399,0.3275282981873312,12.185703932274844,2.0914,0.005072857174185578,0.0018652837333874852,0.0,0.3375588468903517
10075.0,346.5284,387.0229,412.6159,423.5614,296.1432,788.4197,706.295,859.3868,873.9165,8.75,0.0102,0.0099,0.0083,0.007,0.0024,0.0,0.0,0.0014,0.0191,1.1482,1.3311,0.0038,0.0191,0.0204,0.301,117.2727,197.4545,0.092,0.0582,0.2353,0.0,0.0031,0.0,0.9709,0.9814,471.46957,-0.0009,8.36,26.7325,8.8557,8.8325,9.0225,9.074,-0.008,0.0094,81.0252,3.049,3.2366,0.4266,7.1466,0.0001,0.0003,16.0555,1.5583,0.4188,3.2723,0.2275,0.3614,1.3455,0.9382,2.1953,33.0,3.8381,0.0,0.0391,1176333312.0,3724.8,1.6837,0.0391,0.0191,0.02,0.0038,0.0153,0.37219936138302345,2.8563481781666904,0.0,0.24662231182795727,0.6107515698924735,0.30537578494623674,0.37219936138302345,0.0033620008718483712,0.00903279591710153,0.3688373605111751,11.172109897568108,2.0953757849462367,0.37219936138302345,0.030537578494623675,450.64158177023694,0.08204629470924325,0.3278361351909849,12.185703932274844,2.0953757849462367,0.00404187990679802,0.0015043851200970974,0.0,0.34166178288839977
10075.5,376.5802,511.1465,501.075,608.8409,284.4468,726.9014,773.77,703.5124,1020.2916,8.75,0.0133,0.0142,0.009,0.0067,0.0027,0.0,0.0,0.0004,0.0188,1.3016,1.4096,0.0031,0.0188,0.0207,0.3129,117.2727,196.7273,0.0816,0.047,0.2666,0.0,0.0021,0.0,0.9709,0.9814,468.43086,-0.0009,8.357,44.5146,8.8439,8.8208,9.0225,9.061,-0.008,0.0156,150.7194,5.1162,3.2755,0.3659,13.9818,0.0001,0.0002,16.3625,1.6053,0.4336,3.2596,0.2244,0.3651,1.3455,0.9382,2.175,33.0,2.7368,0.0005,0.0463,1176333824.0,3738.4,1.6775,0.0463,0.0188,0.0275,0.0031,0.0157,0.37668631929219853,2.88986234948048,0.08962736842105265,0.2504435483870965,0.5644763010752687,0.3270518347481607,0.37668631929219853,0.0031112439093790335,0.00825950864163351,0.37357507538281953,11.467842382514894,2.117051834748161,0.37668631929219853,0.03270518347481607,450.64158177023694,0.08682339070946296,0.34692419633619964,12.185703932274844,2.117051834748161,0.0036386954960103044,0.0013706468134172221,0.0,0.3439811358173825
10076.0,357.0106,588.0313,567.5214,921.5072,219.6441,407.8051,609.384,520.8679,864.7927,8.75,0.0214,0.0236,0.0069,0.0021,0.0054,0.0,0.0,0.0003,0.0147,1.5345,1.4802,0.0057,0.0147,0.0172,0.3243,117.0909,196.7273,0.0662,0.0313,0.312,0.0011,0.0,0.0,0.9709,0.9814,452.02014,-0.0009,8.335,62.2036,8.8557,8.8208,9.0225,9.061,-0.0083,0.0221,237.2962,6.9999,3.1701,0.3064,22.8464,0.0002,0.0014,16.3369,1.5715,0.4512,3.2758,0.2257,0.3765,1.3455,0.9382,2.1554,33.0,1.9232,0.0014,0.0596,1176334336.0,3728.3,1.6801,0.0596,0.0147,0.0449,0.0057,0.009,0.38115845895437417,2.8976917147760997,0.27582736842105265,0.2610295698924736,0.5149487311827964,0.387989150537635,0.38115845895437417,0.0033873130953075755,0.008886889470064331,0.37777114585906657,11.436733337231711,2.177989150537635,0.38115845895437417,0.038798915053763504,450.64158177023694,0.10179208710256606,0.40673530166097555,12.185703932274844,2.177989150537635,0.003754217688916754,0.0014309518288867621,0.0,0.3423595439006107
10076.5,354.2713,646.914,698.0121,1209.8712,173.9358,277.5481,417.1248,362.9013,589.7195,8.75,0.0186,0.0219,0.0073,0.001,0.007,0.0,0.0,0.0007,0.016,1.4451,1.4372,0.0077,0.016,0.0179,0.3247,116.0,196.0,0.0675,0.0211,0.3225,0.0042,0.0009,0.0,0.9709,0.9814,412.55893,-0.0009,8.3394,78.2265,8.8439,8.8325,9.0225,9.074,-0.0082,0.0274,318.3054,9.0166,3.2903,0.2885,31.2553,0.0002,0.0025,16.4354,1.5843,0.4167,3.2811,0.2304,0.3732,1.3455,0.9382,2.1548,33.0,2.284,0.0014,0.0565,1176334848.0,3709.7,1.6897,0.0565,0.016,0.0405,0.0077,0.0083,0.37824263566534905,2.8336440927218756,0.44448947368421055,0.1883561827956989,0.4844903225806447,0.3364232526881718,0.37824263566534905,0.004111022604789758,0.010868744602411754,0.3741316130605593,10.952615215630681,2.1264232526881717,0.37824263566534905,0.033642325268817184,450.64158177023694,0.08894376809118447,0.3553966852942128,12.185703932274844,2.1264232526881717,0.004756899189186819,0.0017992620869123844,0.0,0.3446003103965319
